"interval_no","interval_name","max_ma","min_ma","X_Ft","X_bL","X_FL","X_bt","sampled_in_bin","implied_in_bin","n_occs"
"922","Late Pleistocene","0.129","0.0117","0","615","31","0","646","14","21992"
"1203","Chibanian","0.774","0.129","2","71","9","613","470","9","7373"
"740","Calabrian","1.8","0.774","2","122","8","682","610","10","10647"
"741","Gelasian","2.58","1.8","1","54","13","803","379","7","2944"
"96","Piacenzian","3.6","2.58","3","64","12","854","623","12","16048"
"97","Zanclean","5.333","3.6","11","103","12","907","750","13","18091"
"98","Messinian","7.246","5.333","9","68","26","1001","660","18","8943"
"99","Tortonian","11.63","7.246","29","109","23","1040","859","20","23207"
"100","Serravallian","13.82","11.63","37","84","35","1112","877","33","20510"
"101","Langhian","15.98","13.82","12","24","4","1184","567","6","5652"
"102","Burdigalian","20.45","15.98","86","66","30","1122","929","25","26062"
"103","Aquitanian","23.04","20.45","21","11","4","1167","441","9","2728"
"104","Chattian","27.3","23.04","58","43","23","1120","689","26","9319"
"105","Rupelian","33.9","27.3","68","56","40","1095","783","33","14163"
"106","Priabonian","37.71","33.9","57","113","62","1094","898","33","12744"
"107","Bartonian","41.03","37.71","52","31","16","1155","683","28","18868"
"108","Lutetian","48.07","41.03","89","47","29","1097","805","27","16850"
"109","Ypresian","56","48.07","194","41","126","950","921","41","13947"
"110","Thanetian","59.24","56","38","15","11","953","420","23","5311"
"743","Selandian","61.66","59.24","17","6","5","951","276","8","2538"
"111","Danian","66","61.66","86","28","3","871","539","26","8497"
"112","Maastrichtian","72.2","66","49","146","30","850","696","40","32238"
"113","Campanian","83.6","72.2","90","77","38","906","776","40","21024"
"114","Santonian","85.7","83.6","23","26","6","960","421","24","5269"
"115","Coniacian","89.8","85.7","11","13","2","975","318","13","3389"
"116","Turonian","93.9","89.8","47","60","53","941","577","29","9649"
"117","Cenomanian","100.5","93.9","112","77","59","889","728","40","15562"
"118","Albian","113.2","100.5","87","55","15","879","648","35","12543"
"119","Aptian","121.4","113.2","89","31","13","845","545","29","8575"
"120","Barremian","125.77","121.4","34","26","11","842","395","24","4309"
"121","Hauterivian","132.6","125.77","35","36","7","833","388","22","5238"
"122","Valanginian","137.05","132.6","33","20","1","836","355","18","6901"
"123","Berriasian","143.1","137.05","51","37","22","805","370","32","4064"
"124","Tithonian","149.2","143.1","53","56","26","789","518","36","9728"
"125","Kimmeridgian","154.8","149.2","61","19","17","784","483","36","8719"
"126","Oxfordian","161.5","154.8","62","27","8","741","455","23","13869"
"127","Callovian","165.3","161.5","45","21","9","723","379","20","11440"
"128","Bathonian","168.2","165.3","70","17","15","674","407","28","8809"
"129","Bajocian","170.9","168.2","43","17","5","648","293","11","5604"
"130","Aalenian","174.7","170.9","22","4","0","643","211","9","3543"
